name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Steve Whitaker,L,72,180,0.23,24,1,214,,,
Manny Jimenez,L,73,185,0.272,26,1,215,,,
Chris Batton,R,76,195,0,0,1,216,,,
Duffy Dyer,R,72,187,0.221,30,1,217,,,
Ken Henderson,B,74,180,0.257,122,1,218,,,
Vance Lovelace,L,77,205,0,0,1,219,,,
Greg Thayer,R,71,182,0,0,1,220,,,
Vern Fuller,R,73,170,0.232,14,1,221,,,
Paul Hartzell,R,77,200,0,0,1,222,,,
Wayne Gross,L,74,210,0.233,121,1,223,,,
Mike Champion,R,72,185,0.229,2,1,224,,,
Ralph Botting,L,72,195,0,0,1,225,,,
Paul Casanova,R,76,180,0.225,50,1,226,,,
Steve Rogers,R,74,175,0.138,0,1,227,,,
Keith Creel,R,74,180,0,0,1,228,,,
Terry Crowley,L,72,180,0.25,42,1,229,,,
Horace Clarke,B,69,170,0.256,27,1,230,,,
Lou Clinton,R,73,185,0.247,65,1,231,,,
Larry Cox,R,70,178,0.221,12,1,232,,,
Nate Colbert,R,74,190,0.243,173,1,233,,,
Phil Roof,R,74,190,0.215,43,1,234,,,
Chuck Hinton,R,73,180,0.264,113,1,235,,,
Tim Cullen,R,73,185,0.22,9,1,236,,,
Tim Harkness,L,74,182,0.235,14,1,237,,,
Rick Bosetti,R,71,185,0.25,17,1,238,,,
Ron Pruitt,R,72,185,0.269,12,1,239,,,
George Foster,R,73,180,0.274,348,1,240,,,
Jerry White,B,70,164,0.253,21,1,241,,,
Angel Mangual,R,70,178,0.245,22,1,242,,,
Ken Gerhart,R,72,190,0.221,24,1,243,,,
Mike Hershberger,R,70,175,0.252,26,1,244,,,
Jim French,L,68,180,0.196,5,1,245,,,
Dave Roberts,L,75,195,0.194,7,1,246,,,
Jim Mason,L,74,185,0.203,12,1,247,,,
Mike Smith,R,75,180,0,0,1,248,,,
Willie Smith,L,72,182,0.248,46,1,249,,,
T.R. Bryden,R,76,190,0,0,1,250,,,
Jose Arcia,R,75,170,0.215,1,1,251,,,
Leon Durham,L,73,185,0.277,147,1,252,,,
Tom Makowski,R,71,185,0,0,1,253,,,
Paul Householder,B,72,180,0.236,29,1,254,,,
Aurelio Rodriguez,R,70,180,0.237,124,1,255,,,
Jimmy Stewart,B,72,165,0.237,8,1,256,,,
Dick Phillips,L,72,180,0.229,12,1,257,,,
Andres Thomas,R,73,170,0.234,42,1,258,,,
Ed Crosby,L,74,175,0.22,0,1,259,,,
Mike de la Hoz,R,71,175,0.251,25,1,260,,,
Frank Taveras,R,72,155,0.255,2,1,261,,,
Joe Nossek,R,72,178,0.228,3,1,262,,,
Larry Stahl,L,72,175,0.232,36,1,263,,,
Jose Cruz,L,72,170,0.284,165,1,264,,,
Don Mason,L,71,160,0.205,3,1,265,,,
Bill Robinson,R,74,189,0.258,166,1,266,,,
Jim Umbarger,L,78,200,0,0,1,267,,,
Sal Bando,R,72,195,0.254,242,1,268,,,
George Mitterwald,R,74,195,0.236,76,1,269,,,
Mike Darr,R,76,190,0,0,1,270,,,
Craig Robinson,R,70,165,0.219,0,1,271,,,
Bob Tillman,R,76,205,0.232,79,1,272,,,
Curt Wardle,L,77,220,0,0,1,273,,,
Pat Corrales,R,72,180,0.216,4,1,274,,,
Mike Tyson,R,69,170,0.241,27,1,275,,,
Rafael Landestoy,B,70,165,0.237,4,1,276,,,
Duane Josephson,R,72,190,0.258,23,1,277,,,
Duane Walker,L,72,185,0.229,24,1,278,,,
Glenn Hubbard,R,69,150,0.244,70,1,279,,,
Roger Freed,R,72,190,0.245,22,1,280,,,
George Hendrick,R,75,195,0.278,267,1,281,,,
Rod Carew,L,72,170,0.328,92,1,282,,,
Bob Davis,R,72,180,0.197,6,1,283,,,
Toby Harrah,R,72,175,0.264,195,1,284,,,
Rick Manning,L,73,180,0.257,56,1,285,,,
Israel Sanchez,L,69,170,0,0,1,286,,,
Steve Burke,B,74,200,0,0,1,287,,,
Gary Matthews,R,74,185,0.281,234,1,288,,,
Cesar Geronimo,L,72,165,0.258,51,1,289,,,
Billy Bryan,L,76,200,0.216,41,1,290,,,
Terry Taylor,R,73,180,0,0,1,291,,,
Terry Whitfield,L,73,197,0.281,33,1,292,,,
Mario Mendoza,R,71,170,0.215,4,1,293,,,
Fred Lynn,L,73,185,0.283,306,1,294,,,
Larry Hisle,R,74,193,0.273,166,1,295,,,
Graig Nettles,L,72,180,0.248,390,1,296,,,
Randy Nosek,R,76,215,0,0,1,297,,,
Dave Engle,R,75,210,0.262,31,1,298,,,
Narciso Elvira,L,70,160,0,0,1,299,,,
Mike Easler,L,72,190,0.293,118,1,300,,,
Mark Smith,R,74,215,0,0,1,301,,,
Paul Mitchell,R,73,195,0,0,1,302,,,
Rick Sweet,B,73,200,0.234,6,1,303,,,
Thurman Munson,R,71,190,0.292,113,1,304,,,
Rick Monday,L,75,193,0.264,241,1,305,,,
Mike Sadek,R,69,165,0.226,5,1,306,,,
Mark Belanger,R,73,170,0.228,20,1,307,,,
Ron Hunt,R,72,186,0.273,39,1,308,,,
Joe Keough,L,72,185,0.246,9,1,309,,,
Butch Edge,R,75,203,0,0,1,310,,,
Vic Correll,R,70,185,0.229,29,1,311,,,
Jackie Hernandez,R,71,165,0.208,12,1,312,,,
Tony Solaita,L,72,210,0.255,50,1,313,,,
U L Washington,B,71,175,0.251,27,1,314,,,
