name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Joe Charboneau,R,74,205,0.266,29,1,1039,,,
Jimmie Schaffer,R,69,170,0.223,11,1,1040,,,
Junior Kennedy,R,71,175,0.248,4,1,1041,,,
Wilbur Howard,B,74,170,0.25,6,1,1042,,,
Rod Gilbreath,R,74,180,0.248,14,1,1043,,,
Mark Brouhard,R,73,210,0.259,25,1,1044,,,
Dan Morogiello,L,73,200,0,0,1,1045,,,
Mike Young,B,74,195,0.247,72,1,1046,,,
Chris Speier,R,73,175,0.246,112,1,1047,,,
Gene Michael,B,74,183,0.229,15,1,1048,,,
Vic Harris,B,71,165,0.217,13,1,1049,,,
Mike Fischlin,R,73,165,0.22,3,1,1050,,,
Don Money,R,73,170,0.261,176,1,1051,,,
Joe Rudi,R,74,200,0.264,179,1,1052,,,
Jim Rice,R,74,200,0.298,382,1,1053,,,
Shawn Holman,R,74,185,0,0,1,1054,,,
Alan Wirth,R,76,190,0,0,1,1055,,,
Gil Garrido,R,69,150,0.237,1,1,1056,,,
Marty Perez,R,71,160,0.246,22,1,1057,,,
Tom Matchick,L,73,173,0.215,4,1,1058,,,
Jack Perconte,L,70,160,0.27,2,1,1059,,,
Ed Kirkpatrick,L,71,195,0.238,85,1,1060,,,
Jerry Grote,R,70,185,0.252,39,1,1061,,,
Ellie Hendricks,L,73,175,0.22,62,1,1062,,,
Jim Beauchamp,R,74,190,0.231,14,1,1063,,,
Terry Wilshusen,R,74,210,0,0,1,1064,,,
Tito Fuentes,B,71,175,0.268,45,1,1065,,,
Ron Brand,R,67,167,0.239,3,1,1066,,,
Leo Cardenas,R,71,150,0.257,118,1,1067,,,
Art Shamsky,L,73,168,0.253,68,1,1068,,,
Steve Ellsworth,R,80,220,0,0,1,1069,,,
Ron Cey,R,70,185,0.261,316,1,1070,,,
Skip Jutze,R,71,190,0.215,3,1,1071,,,
Butch Wynegar,B,73,190,0.255,65,1,1072,,,
Ron LeFlore,R,72,200,0.288,59,1,1073,,,
Bill Russell,R,72,175,0.263,46,1,1074,,,
Gene Tenace,R,72,190,0.241,201,1,1075,,,
Bubba Morton,R,70,175,0.267,14,1,1076,,,
Ellie Rodriguez,R,71,185,0.245,16,1,1077,,,
Darrel Chaney,B,74,188,0.217,14,1,1078,,,
Dick Nen,L,74,200,0.224,21,1,1079,,,
Bryan Kelly,R,74,195,0,0,1,1080,,,
Bill Freehan,R,75,203,0.262,200,1,1081,,,
Steve Nicosia,R,70,185,0.248,11,1,1082,,,
Ted Savage,R,73,185,0.233,34,1,1083,,,
Pete Mackanin,R,74,190,0.226,30,1,1084,,,
Rich Dauer,R,72,180,0.257,43,1,1085,,,
Mick Kelleher,R,69,176,0.213,0,1,1086,,,
Rowland Office,L,72,170,0.259,32,1,1087,,,
Rick Leach,L,73,180,0.268,18,1,1088,,,
Dwayne Murphy,L,73,185,0.246,166,1,1089,,,
Larry Harlow,L,74,185,0.248,12,1,1090,,,
Mike Epstein,L,75,230,0.244,130,1,1091,,,
Jerry Mumphrey,B,74,185,0.289,70,1,1092,,,
Don Sutton,R,73,185,0.144,0,1,1093,,,
Glenn Beckert,R,73,190,0.283,22,1,1094,,,
Ron Davis,R,72,175,0.233,10,1,1095,,,
Mike Shannon,R,75,195,0.255,68,1,1096,,,
Jason Thompson,L,76,200,0.261,208,1,1097,,,
Wayne Tolleson,B,69,160,0.241,9,1,1098,,,
John Leister,R,74,200,0,0,1,1099,,,
Don Cooper,R,73,185,0,0,1,1100,,,
Mike Jorgensen,L,72,195,0.243,95,1,1101,,,
Ed Romero,R,71,160,0.247,8,1,1102,,,
Rick Joseph,R,73,192,0.243,13,1,1103,,,
Cecil Cooper,L,74,165,0.298,241,1,1104,,,
Bill Almon,R,75,180,0.254,36,1,1105,,,
Joe Ferguson,R,74,200,0.24,122,1,1106,,,
Jeff Jones,R,75,210,0,0,1,1107,,,
Jerry Terrell,R,71,165,0.253,4,1,1108,,,
John Poloni,L,77,210,0,0,1,1109,,,
Dave Revering,L,76,210,0.265,62,1,1110,,,
Curt Ford,L,70,150,0.245,7,1,1111,,,
Jerry Dybzinski,R,74,180,0.234,3,1,1112,,,
Mike Willis,L,74,205,0,0,1,1113,,,
Bob Burda,L,71,174,0.224,13,1,1114,,,
Jesse Gonder,L,70,180,0.251,26,1,1115,,,
Gary Sutherland,R,72,185,0.243,24,1,1116,,,
Bob Coluccio,R,71,183,0.22,26,1,1117,,,
Dave Rader,L,71,165,0.257,30,1,1118,,,
Ron Gardenhire,R,72,175,0.232,4,1,1119,,,
Bill Sharp,L,70,178,0.255,9,1,1120,,,
Alan Bannister,R,71,170,0.27,19,1,1121,,,
Bob Watson,R,72,201,0.295,184,1,1122,,,
Ken Harrelson,R,74,190,0.239,131,1,1123,,,
Bobby Wine,R,73,187,0.215,30,1,1124,,,
Stefan Wever,R,80,245,0,0,1,1125,,,
John Kennedy,R,72,185,0.225,32,1,1126,,,
Chico Ruiz,B,72,169,0.24,2,1,1127,,,
Dave Johnson,R,73,183,0,0,1,1128,,,
Gail Hopkins,L,70,198,0.266,25,1,1129,,,
Doug Frobel,L,76,196,0.201,20,1,1130,,,
Luis Melendez,R,72,165,0.248,9,1,1131,,,
Jerry Augustine,L,72,183,0,0,1,1132,,,
Bill Plummer,R,73,190,0.188,14,1,1133,,,
Buck Rodgers,B,74,190,0.232,31,1,1134,,,
Phil Niekro,R,73,180,0.169,7,1,1135,,,
Jeff Holly,L,77,210,0,0,1,1136,,,
Tom Poquette,L,70,175,0.268,10,1,1137,,,
Eric Hetzel,R,75,175,0,0,1,1138,,,
Brian Asselstine,L,73,175,0.254,12,1,1139,,,
Rick Miller,L,72,175,0.269,28,1,1140,,,
Ed Charles,R,70,170,0.263,86,1,1141,,,
Luis Gomez,R,69,150,0.21,0,1,1142,,,
Dave Lemanczyk,R,76,235,0,0,1,1143,,,
Al Jones,R,76,210,0,0,1,1144,,,
Floyd Rayford,R,70,190,0.244,38,1,1145,,,
Sam Hinds,R,78,215,0,0,1,1146,,,
Tony Conigliaro,R,75,185,0.264,166,1,1147,,,
Clay Christiansen,R,77,205,0,0,1,1148,,,
Jim Barr,R,75,205,0.162,1,1,1149,,,
Jerry Remy,L,69,165,0.275,7,1,1150,,,
Larry Rothschild,L,74,180,0,0,1,1151,,,
Frank Duffy,R,73,180,0.232,26,1,1152,,,
Gary Lance,B,75,195,0,0,1,1153,,,
Tom O'Malley,L,72,180,0.256,13,1,1154,,,
Phil Garner,R,70,175,0.26,109,1,1155,,,
Larry Pashnick,R,75,205,0,0,1,1156,,,
Todd Fischer,R,70,170,0,0,1,1157,,,
